house,success,fail,contact_ever,tcp_min_frame,tcp_min_m,tcp_first_lt5cm_frame,grip_first_close_frame,grip_close_during_lt5cm,n_grip_transitions,pregrasp_min_m,final_tcp_m,episode_len,traj
11,0,1,0,1,0.3118,-1,-1,0,1,0.3118,0.3183,301,traj_0
12,0,1,0,20,0.5243,-1,-1,0,1,0.5243,0.5481,301,traj_0
13,0,1,0,0,0.4551,-1,-1,0,1,0.4551,0.4657,301,traj_0
14,0,1,0,296,0.3379,-1,-1,0,1,0.3379,0.3399,301,traj_0
15,0,1,0,272,0.2894,-1,-1,0,1,0.2894,0.2894,301,traj_0
16,0,1,0,17,0.1863,-1,-1,0,1,0.1863,0.4363,301,traj_0
17,0,1,0,270,0.1638,-1,266,0,2,0.1638,0.1662,301,traj_0
18,0,1,0,1,0.6701,-1,-1,0,1,0.6701,0.6756,301,traj_0
19,0,1,0,267,0.2616,-1,-1,0,1,0.2616,0.2631,301,traj_0
20,0,1,0,23,0.4394,-1,-1,0,1,0.4394,0.4395,301,traj_0
