link,n_sensors,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_50m,activation_lt_0_20m,activation_lt_0_10m,activation_lt_0_05m,near_saturation_lt_0_05m,raw_frame_activation_lt_0_50m,raw_frame_activation_lt_0_20m,raw_frame_activation_lt_0_10m,raw_frame_activation_lt_0_05m,mean_min_depth_m,std_min_depth_m,p05_min_depth_m,p50_min_depth_m,p95_min_depth_m,min_depth_m,median_within_traj_std_m,median_frame_to_frame_abs_diff_m,success_activation_lt_0_20m,failure_activation_lt_0_20m,success_minus_failure_activation_lt_0_20m,phase_approach_n_frames,phase_approach_n_valid_frames,phase_approach_valid_frame_ratio,phase_approach_activation_lt_0_20m,phase_pregrasp_n_frames,phase_pregrasp_n_valid_frames,phase_pregrasp_valid_frame_ratio,phase_pregrasp_activation_lt_0_20m,phase_grasp_lift_n_frames,phase_grasp_lift_n_valid_frames,phase_grasp_lift_valid_frame_ratio,phase_grasp_lift_activation_lt_0_20m,phase_transit_n_frames,phase_transit_n_valid_frames,phase_transit_valid_frame_ratio,phase_transit_activation_lt_0_20m,phase_place_n_frames,phase_place_n_valid_frames,phase_place_valid_frame_ratio,phase_place_activation_lt_0_20m,phase_post_place_n_frames,phase_post_place_n_valid_frames,phase_post_place_valid_frame_ratio,phase_post_place_activation_lt_0_20m,phase_unknown_n_frames,phase_unknown_n_valid_frames,phase_unknown_valid_frame_ratio,phase_unknown_activation_lt_0_20m,phase_spread_active_phase_count,suspicious_self_sensing,suspicious_reason
link2,7,27755,27685,0.9974779319041615,0.24251399674914215,0.02459815784720968,0.0002167238576846668,0.0002167238576846668,0.0002167238576846668,0.2444244280309854,0.02705818771392542,0.002738245361196181,0.002738245361196181,1.0609174411408149,0.6365410288989466,0.25351153016090394,0.969692051410675,2.2203204631805415,0.04119356349110603,0.24672598009699417,0.001894533634185791,0.02459815784720968,,,644,574,0.8913043478260869,0.020905923344947737,4018,4018,1.0,0.012692882030861125,6013,6013,1.0,0.03276234824546815,2296,2296,1.0,0.025261324041811847,2779,2779,1.0,0.022310183519251528,8715,8715,1.0,0.022719449225473323,3290,3290,1.0,0.03130699088145897,0,False,
link3,8,31720,31639,0.9974464060529634,0.15923385694870254,0.02462151142577199,0.011093903094282372,0.000600524668921268,0.000600524668921268,0.16134930643127365,0.027080706179066834,0.01358764186633039,0.003121059268600252,1.151997207068494,0.6049573397901109,0.24809089303016663,1.1113144159317017,2.2272770404815674,0.04119356349110603,0.17989520410571375,0.002488642930984497,0.02462151142577199,,,736,656,0.8913043478260869,0.01524390243902439,4592,4592,1.0,0.014155052264808362,6872,6872,1.0,0.021245634458672877,2624,2623,0.9996189024390244,0.025162028211971027,3176,3176,1.0,0.02455919395465995,9960,9960,1.0,0.028313253012048192,3760,3760,1.0,0.035106382978723406,0,False,
link5,6,23790,23676,0.9952080706179067,0.12480993411049164,0.005110660584558203,0.0019428957594188208,0.0013515796587261362,0.0013515796587261362,0.12673392181588902,0.00760823875577974,0.004455653635981505,0.0038671710802858344,1.211290615488521,0.6764486212023461,0.39947742223739624,1.0535667538642883,2.3053412437438965,0.04108987748622894,0.22170548023781794,0.0029169321060180664,0.005110660584558203,,,552,492,0.8913043478260869,0.016260162601626018,3444,3437,0.9979674796747967,0.0002909514111143439,5154,5154,1.0,0.02017850213426465,1968,1968,1.0,0.0020325203252032522,2382,2382,1.0,0.0008396305625524769,7470,7456,0.9981258366800535,0.0002682403433476395,2820,2787,0.9882978723404255,0.0,0,False,
link6,8,31720,31600,0.9962168978562421,0.39069620253164555,0.07579113924050633,0.01259493670886076,0.0034177215189873417,0.0034177215189873417,0.39174022698612865,0.0780264817150063,0.015069356872635562,0.005926860025220681,0.8316671198167941,0.6295429934656052,0.16387327387928963,0.642286866903305,2.114474594593048,0.04109112173318863,0.14779496497836164,0.001128997653722763,0.07579113924050633,,,736,656,0.8913043478260869,0.07621951219512195,4592,4585,0.9984756097560976,0.049291166848418756,6872,6872,1.0,0.18669965075669384,2624,2620,0.9984756097560976,0.13511450381679388,3176,3165,0.996536523929471,0.03981042654028436,9960,9942,0.9981927710843373,0.025849929591631463,3760,3760,1.0,0.026329787234042553,0,False,
