link,n_sensors,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_50m,activation_lt_0_20m,activation_lt_0_10m,activation_lt_0_05m,near_saturation_lt_0_05m,raw_frame_activation_lt_0_50m,raw_frame_activation_lt_0_20m,raw_frame_activation_lt_0_10m,raw_frame_activation_lt_0_05m,mean_min_depth_m,std_min_depth_m,p05_min_depth_m,p50_min_depth_m,p95_min_depth_m,min_depth_m,median_within_traj_std_m,median_frame_to_frame_abs_diff_m,success_activation_lt_0_20m,failure_activation_lt_0_20m,success_minus_failure_activation_lt_0_20m,phase_approach_n_frames,phase_approach_n_valid_frames,phase_approach_valid_frame_ratio,phase_approach_activation_lt_0_20m,phase_pregrasp_n_frames,phase_pregrasp_n_valid_frames,phase_pregrasp_valid_frame_ratio,phase_pregrasp_activation_lt_0_20m,phase_grasp_lift_n_frames,phase_grasp_lift_n_valid_frames,phase_grasp_lift_valid_frame_ratio,phase_grasp_lift_activation_lt_0_20m,phase_transit_n_frames,phase_transit_n_valid_frames,phase_transit_valid_frame_ratio,phase_transit_activation_lt_0_20m,phase_place_n_frames,phase_place_n_valid_frames,phase_place_valid_frame_ratio,phase_place_activation_lt_0_20m,phase_post_place_n_frames,phase_post_place_n_valid_frames,phase_post_place_valid_frame_ratio,phase_post_place_activation_lt_0_20m,phase_unknown_n_frames,phase_unknown_n_valid_frames,phase_unknown_valid_frame_ratio,phase_unknown_activation_lt_0_20m,phase_spread_active_phase_count,suspicious_self_sensing,suspicious_reason
link2,7,3717,3710,0.9981167608286252,0.6318059299191374,0.06442048517520216,0.00026954177897574127,0.0,0.0,0.6324993274145817,0.06618240516545601,0.0021522733387140166,0.0018832391713747645,0.6356003217680274,0.4323779417711248,0.18859534487128257,0.45122478902339935,1.5558420956134795,0.06213786453008652,0.10758245480681311,0.00047850608825683594,0.06442048517520216,,,84,77,0.9166666666666666,0.012987012987012988,511,511,1.0,0.10176125244618395,833,833,1.0,0.07322929171668667,245,245,1.0,0.07755102040816327,420,420,1.0,0.0,1162,1162,1.0,0.06282271944922548,462,462,1.0,0.07142857142857142,0,False,
link3,8,4248,4240,0.9981167608286252,0.5398584905660377,0.1018867924528302,0.02617924528301887,0.0,0.0,0.5407250470809792,0.10357815442561205,0.028013182674199624,0.0018832391713747645,0.6482493695126459,0.44951599434575246,0.11943718194961549,0.47418536245822906,1.4980209827423092,0.06127302348613739,0.15634403535435698,0.000996232032775879,0.1018867924528302,,,96,88,0.9166666666666666,0.0,584,584,1.0,0.1523972602739726,952,952,1.0,0.0,280,280,1.0,0.0,480,480,1.0,0.0,1328,1328,1.0,0.1091867469879518,528,528,1.0,0.375,1,False,
link5,6,3186,3180,0.9981167608286252,0.5459119496855346,0.0279874213836478,0.00031446540880503143,0.0,0.0,0.54676710608914,0.029817953546767105,0.002197112366603892,0.0018832391713747645,0.6917732352988337,0.40902634196399473,0.2262165240943432,0.4063814729452133,1.2519092798233031,0.06213786453008652,0.11084098959663277,0.0008241832256317139,0.0279874213836478,,,72,66,0.9166666666666666,0.0,438,438,1.0,0.00228310502283105,714,714,1.0,0.12324929971988796,210,210,1.0,0.0,360,360,1.0,0.0,996,996,1.0,0.0,396,396,1.0,0.0,0,False,
link6,8,4248,4240,0.9981167608286252,0.2976415094339623,0.013679245283018868,0.006603773584905661,0.0,0.0,0.2989642184557439,0.015536723163841809,0.00847457627118644,0.0018832391713747645,0.7970829828203004,0.42673769346964613,0.24106105118989946,0.680273175239563,1.4100191593170166,0.0553322471678257,0.11657461678946818,0.0011006593704223633,0.013679245283018868,,,96,88,0.9166666666666666,0.0,584,584,1.0,0.0,952,952,1.0,0.06092436974789916,280,280,1.0,0.0,480,480,1.0,0.0,1328,1328,1.0,0.0,528,528,1.0,0.0,0,False,
