sensor_name,link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link3_sensor_4,link3,grasp_lift,1986,1986,1.0,0.12134944612286001
link3_sensor_4,link3,transit,559,559,1.0,0.1037567084078712
link3_sensor_4,link3,place,698,698,1.0,0.16332378223495703
link3_sensor_4,link3,post_place,2329,2329,1.0,0.12194074710176041
link3_sensor_4,link3,unknown,871,871,1.0,0.11366245694603903
link3_sensor_5,link3,approach,175,168,0.96,0.10714285714285714
link3_sensor_5,link3,pregrasp,685,680,0.9927007299270073,0.06470588235294118
link3_sensor_5,link3,grasp_lift,1986,1986,1.0,0.12084592145015106
link3_sensor_5,link3,transit,559,559,1.0,0.10196779964221825
link3_sensor_5,link3,place,698,698,1.0,0.11031518624641834
link3_sensor_5,link3,post_place,2329,2329,1.0,0.10304851867754401
link3_sensor_5,link3,unknown,871,871,1.0,0.07577497129735936
link3_sensor_6,link3,approach,175,164,0.9371428571428572,0.036585365853658534
link3_sensor_6,link3,pregrasp,685,680,0.9927007299270073,0.07058823529411765
link3_sensor_6,link3,grasp_lift,1986,1986,1.0,0.09214501510574018
link3_sensor_6,link3,transit,559,559,1.0,0.057245080500894455
link3_sensor_6,link3,place,698,688,0.9856733524355301,0.036337209302325583
link3_sensor_6,link3,post_place,2329,2327,0.9991412623443539,0.06489041684572411
link3_sensor_6,link3,unknown,871,871,1.0,0.09414466130884042
link3_sensor_7,link3,approach,175,168,0.96,0.07738095238095238
link3_sensor_7,link3,pregrasp,685,680,0.9927007299270073,0.03676470588235294
link3_sensor_7,link3,grasp_lift,1986,1986,1.0,0.0770392749244713
link3_sensor_7,link3,transit,559,559,1.0,0.07871198568872988
link3_sensor_7,link3,place,698,698,1.0,0.0830945558739255
link3_sensor_7,link3,post_place,2329,2329,1.0,0.0626878488621726
link3_sensor_7,link3,unknown,871,871,1.0,0.018369690011481057
link5_sensor_0,link5,approach,175,168,0.96,0.16666666666666666
link5_sensor_0,link5,pregrasp,685,680,0.9927007299270073,0.08529411764705883
link5_sensor_0,link5,grasp_lift,1986,1986,1.0,0.14551863041289023
link5_sensor_0,link5,transit,559,559,1.0,0.16457960644007155
link5_sensor_0,link5,place,698,698,1.0,0.17908309455587393
link5_sensor_0,link5,post_place,2329,2329,1.0,0.14469729497638473
link5_sensor_0,link5,unknown,871,871,1.0,0.09414466130884042
link5_sensor_1,link5,approach,175,168,0.96,0.19047619047619047
link5_sensor_1,link5,pregrasp,685,680,0.9927007299270073,0.10735294117647058
link5_sensor_1,link5,grasp_lift,1986,1986,1.0,0.2230614300100705
link5_sensor_1,link5,transit,559,559,1.0,0.2110912343470483
link5_sensor_1,link5,place,698,698,1.0,0.21060171919770773
link5_sensor_1,link5,post_place,2329,2329,1.0,0.1786174323744096
link5_sensor_1,link5,unknown,871,871,1.0,0.09414466130884042
link5_sensor_2,link5,approach,175,168,0.96,0.16666666666666666
link5_sensor_2,link5,pregrasp,685,680,0.9927007299270073,0.09411764705882353
link5_sensor_2,link5,grasp_lift,1986,1986,1.0,0.1661631419939577
link5_sensor_2,link5,transit,559,559,1.0,0.20214669051878353
link5_sensor_2,link5,place,698,698,1.0,0.17908309455587393
link5_sensor_2,link5,post_place,2329,2329,1.0,0.16058394160583941
link5_sensor_2,link5,unknown,871,871,1.0,0.09414466130884042
link5_sensor_3,link5,approach,175,158,0.9028571428571428,0.26582278481012656
link5_sensor_3,link5,pregrasp,685,680,0.9927007299270073,0.18676470588235294
link5_sensor_3,link5,grasp_lift,1986,1986,1.0,0.29003021148036257
link5_sensor_3,link5,transit,559,547,0.9785330948121646,0.3162705667276051
link5_sensor_3,link5,place,698,651,0.9326647564469914,0.34101382488479265
link5_sensor_3,link5,post_place,2329,2262,0.9712322885358523,0.2369584438549956
link5_sensor_3,link5,unknown,871,871,1.0,0.16991963260619977
link5_sensor_4,link5,approach,175,168,0.96,0.25595238095238093
link5_sensor_4,link5,pregrasp,685,680,0.9927007299270073,0.1676470588235294
link5_sensor_4,link5,grasp_lift,1986,1986,1.0,0.2618328298086606
