link,n_sensors,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_50m,activation_lt_0_20m,activation_lt_0_10m,activation_lt_0_05m,near_saturation_lt_0_05m,raw_frame_activation_lt_0_50m,raw_frame_activation_lt_0_20m,raw_frame_activation_lt_0_10m,raw_frame_activation_lt_0_05m,mean_min_depth_m,std_min_depth_m,p05_min_depth_m,p50_min_depth_m,p95_min_depth_m,min_depth_m,median_within_traj_std_m,median_frame_to_frame_abs_diff_m,success_activation_lt_0_20m,failure_activation_lt_0_20m,success_minus_failure_activation_lt_0_20m,phase_approach_n_frames,phase_approach_n_valid_frames,phase_approach_valid_frame_ratio,phase_approach_activation_lt_0_20m,phase_pregrasp_n_frames,phase_pregrasp_n_valid_frames,phase_pregrasp_valid_frame_ratio,phase_pregrasp_activation_lt_0_20m,phase_grasp_lift_n_frames,phase_grasp_lift_n_valid_frames,phase_grasp_lift_valid_frame_ratio,phase_grasp_lift_activation_lt_0_20m,phase_transit_n_frames,phase_transit_n_valid_frames,phase_transit_valid_frame_ratio,phase_transit_activation_lt_0_20m,phase_place_n_frames,phase_place_n_valid_frames,phase_place_valid_frame_ratio,phase_place_activation_lt_0_20m,phase_post_place_n_frames,phase_post_place_n_valid_frames,phase_post_place_valid_frame_ratio,phase_post_place_activation_lt_0_20m,phase_unknown_n_frames,phase_unknown_n_valid_frames,phase_unknown_valid_frame_ratio,phase_unknown_activation_lt_0_20m,phase_spread_active_phase_count,suspicious_self_sensing,suspicious_reason
link2,7,51121,51037,0.9983568396549364,0.44914473813115974,0.1263789015812058,0.05382369653388718,0.017712639849520935,0.017712639849520935,0.4500498816533323,0.12781440112673853,0.055378415915181625,0.01932669548717748,0.7547856090349081,0.572915302620286,0.09712973684072494,0.6102320551872253,1.7958048343658446,0.04104915261268616,0.10760803057462599,0.0009987056255340576,0.1263789015812058,,,1225,1176,0.96,0.1360544217687075,4795,4760,0.9927007299270073,0.08319327731092437,13902,13902,1.0,0.14695727233491584,3913,3913,1.0,0.1277791975466394,4886,4886,1.0,0.14101514531313958,16303,16303,1.0,0.12807458749923328,6097,6097,1.0,0.09414466130884042,0,False,
link3,8,58424,58312,0.9980829795974258,0.30777541500891753,0.0961037179311291,0.03723075867745918,0.006568116339689943,0.006568116339689943,0.30882856360399835,0.09756264548815555,0.03880254689853485,0.008198685471723949,0.8729312679469573,0.5741928893401743,0.13627422749996185,0.8243148028850555,1.9490706741809842,0.042509496212005615,0.13188114326856032,0.0015175789594650269,0.0961037179311291,,,1400,1340,0.9571428571428572,0.10746268656716418,5480,5440,0.9927007299270073,0.07518382352941176,15888,15888,1.0,0.10743957703927492,4472,4472,1.0,0.08676207513416816,5584,5574,0.9982091690544412,0.11230714029422317,18632,18630,0.9998926577930443,0.09506172839506173,6968,6968,1.0,0.08022388059701492,0,False,
link5,6,43818,43610,0.9952530923364827,0.37427195597340057,0.18734235267140564,0.0696629213483146,0.013620729190552626,0.013620729190552626,0.37413848190241455,0.18809621616687205,0.07097539823816697,0.01519923319183897,0.8954753323442122,0.6746861448350793,0.08120082430541516,0.8329540491104126,2.176319360733017,0.04104915261268616,0.1783362112744376,0.002324432134628296,0.18734235267140564,,,1050,998,0.9504761904761905,0.20140280561122245,4110,4080,0.9927007299270073,0.1232843137254902,11916,11916,1.0,0.21743873783148707,3354,3342,0.9964221824686941,0.22740873728306404,4188,4141,0.9887774594078319,0.2298961603477421,13974,13907,0.995205381422642,0.18494283454375493,5226,5226,1.0,0.11308840413318025,4,False,
link6,8,58424,58185,0.9959092153909352,0.6706883217324052,0.22593451920598093,0.0777348113775028,0.012133711437655754,0.012133711437655754,0.6695878406134466,0.22665343009722033,0.07905997535259482,0.01372723538271943,0.5417144661697084,0.5288151853946143,0.07779777497053146,0.36713454127311707,1.774911618232727,0.04104915261268616,0.13984299293339242,0.001852571964263916,0.22593451920598093,,,1400,1333,0.9521428571428572,0.29182295573893474,5480,5440,0.9927007299270073,0.15753676470588235,15888,15888,1.0,0.3149546827794562,4472,4472,1.0,0.23501788908765653,5584,5521,0.9887177650429799,0.28237638109038216,18632,18563,0.9962966938600257,0.1900554867208964,6968,6968,1.0,0.10878300803673938,4,True,activation_spread_across_many_phases
