sensor_name,link,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_50m,activation_lt_0_20m,activation_lt_0_10m,activation_lt_0_05m,near_saturation_lt_0_05m,raw_frame_activation_lt_0_50m,raw_frame_activation_lt_0_20m,raw_frame_activation_lt_0_10m,raw_frame_activation_lt_0_05m,mean_min_depth_m,std_min_depth_m,p05_min_depth_m,p50_min_depth_m,p95_min_depth_m,min_depth_m,median_within_traj_std_m,median_frame_to_frame_abs_diff_m,success_activation_lt_0_20m,failure_activation_lt_0_20m,success_minus_failure_activation_lt_0_20m,phase_approach_n_frames,phase_approach_n_valid_frames,phase_approach_valid_frame_ratio,phase_approach_activation_lt_0_20m,phase_pregrasp_n_frames,phase_pregrasp_n_valid_frames,phase_pregrasp_valid_frame_ratio,phase_pregrasp_activation_lt_0_20m,phase_grasp_lift_n_frames,phase_grasp_lift_n_valid_frames,phase_grasp_lift_valid_frame_ratio,phase_grasp_lift_activation_lt_0_20m,phase_transit_n_frames,phase_transit_n_valid_frames,phase_transit_valid_frame_ratio,phase_transit_activation_lt_0_20m,phase_place_n_frames,phase_place_n_valid_frames,phase_place_valid_frame_ratio,phase_place_activation_lt_0_20m,phase_post_place_n_frames,phase_post_place_n_valid_frames,phase_post_place_valid_frame_ratio,phase_post_place_activation_lt_0_20m,phase_unknown_n_frames,phase_unknown_n_valid_frames,phase_unknown_valid_frame_ratio,phase_unknown_activation_lt_0_20m,phase_spread_active_phase_count,suspicious_self_sensing,suspicious_reason
link2_sensor_0,link2,3864,3850,0.9963768115942029,0.5711688311688312,0.06987012987012987,0.00025974025974025974,0.00025974025974025974,0.00025974025974025974,0.5727225672877847,0.07324016563146998,0.0038819875776397515,0.0038819875776397515,0.8086174132258862,0.7690302752878243,0.13599787652492523,0.3285708427429199,2.4627168655395484,0.043776094913482666,0.36549055460467955,0.0011486411094665527,0.06987012987012987,,,90,76,0.8444444444444444,0.06578947368421052,462,462,1.0,0.07792207792207792,838,838,1.0,0.06563245823389022,340,340,1.0,0.09117647058823529,394,394,1.0,0.06345177664974619,1245,1245,1.0,0.06746987951807229,495,495,1.0,0.06666666666666667,0,False,
link2_sensor_1,link2,3864,3850,0.9963768115942029,0.427012987012987,0.017142857142857144,0.0,0.0,0.0,0.42908902691511386,0.020703933747412008,0.0036231884057971015,0.0036231884057971015,0.7986507191750909,0.5171223991509319,0.21530119255185126,0.5968915820121765,1.720998901128769,0.17419347167015076,0.40496026403214025,0.0010524392127990723,0.017142857142857144,,,90,76,0.8444444444444444,0.0,462,462,1.0,0.025974025974025976,838,838,1.0,0.00954653937947494,340,340,1.0,0.0,394,394,1.0,0.0,1245,1245,1.0,0.010441767068273093,495,495,1.0,0.06666666666666667,0,False,
link2_sensor_2,link2,3864,3850,0.9963768115942029,0.28519480519480517,0.036883116883116886,0.0,0.0,0.0,0.28778467908902694,0.040372670807453416,0.0036231884057971015,0.0036231884057971015,1.1197332475556956,0.742539023472933,0.21268771588802338,1.0569642782211304,2.5672166705131527,0.14518462121486664,0.1968032942485522,0.002791166305541992,0.036883116883116886,,,90,76,0.8444444444444444,0.0,462,462,1.0,0.06926406926406926,838,838,1.0,0.0,340,340,1.0,0.061764705882352944,394,394,1.0,0.0,1245,1245,1.0,0.04497991967871486,495,495,1.0,0.06666666666666667,0,False,
link2_sensor_3,link2,3864,3850,0.9963768115942029,0.548051948051948,0.10441558441558442,0.00025974025974025974,0.00025974025974025974,0.00025974025974025974,0.5496894409937888,0.10766045548654245,0.0038819875776397515,0.0038819875776397515,0.6409243710232633,0.4398889495531046,0.15660055354237556,0.4131319969892502,1.4991392672061914,0.045317377895116806,0.403558815701678,0.0010402202606201172,0.10441558441558442,,,90,76,0.8444444444444444,0.06578947368421052,462,462,1.0,0.06277056277056277,838,838,1.0,0.162291169451074,340,340,1.0,0.05,394,394,1.0,0.11421319796954314,1245,1245,1.0,0.08353413654618475,495,495,1.0,0.13333333333333333,0,False,
link2_sensor_4,link2,3864,3850,0.9963768115942029,0.3615584415584416,0.05818181818181818,0.0,0.0,0.0,0.363871635610766,0.06159420289855073,0.0036231884057971015,0.0036231884057971015,1.1995378220661894,0.8378886421887878,0.1970220722258091,1.3421263098716736,2.65960236787796,0.1510334312915802,0.0589434347739942,0.0011926889419555664,0.05818181818181818,,,90,76,0.8444444444444444,0.06578947368421052,462,462,1.0,0.07792207792207792,838,838,1.0,0.04892601431980907,340,340,1.0,0.023529411764705882,394,394,1.0,0.06598984771573604,1245,1245,1.0,0.060240963855421686,495,495,1.0,0.06666666666666667,0,False,
link2_sensor_5,link2,3864,3850,0.9963768115942029,0.3574025974025974,0.10051948051948052,0.0,0.0,0.0,0.35973084886128365,0.10377846790890269,0.0036231884057971015,0.0036231884057971015,1.1872523292221806,0.8205151492161425,0.16777924373745917,1.245950698852539,2.6633505582809445,0.124623604118824,0.07669631508091093,0.001013636589050293,0.10051948051948052,,,90,76,0.8444444444444444,0.06578947368421052,462,462,1.0,0.11688311688311688,838,838,1.0,0.13484486873508353,340,340,1.0,0.09705882352941177,394,394,1.0,0.06598984771573604,1245,1245,1.0,0.09879518072289156,495,495,1.0,0.06666666666666667,0,False,
link2_sensor_6,link2,3864,3850,0.9963768115942029,0.958961038961039,0.13714285714285715,0.03090909090909091,0.00025974025974025974,0.00025974025974025974,0.9591097308488613,0.14026915113871635,0.034420289855072464,0.0038819875776397515,0.2770692440277183,0.10633400405713178,0.14535944387316704,0.26984991133213043,0.3570224344730377,0.045317377895116806,0.024422384499146906,0.00033017992973327637,0.13714285714285715,,,90,76,0.8444444444444444,0.13157894736842105,462,462,1.0,0.1038961038961039,838,838,1.0,0.18377088305489261,340,340,1.0,0.09411764705882353,394,394,1.0,0.12944162436548223,1245,1245,1.0,0.13413654618473897,495,495,1.0,0.13333333333333333,0,False,
link3_sensor_0,link3,3864,3850,0.9963768115942029,0.3277922077922078,0.025194805194805193,0.0,0.0,0.0,0.3302277432712215,0.02872670807453416,0.0036231884057971015,0.0036231884057971015,1.2677402621623757,0.9087989371731586,0.2234615296125412,1.0396032333374023,2.8080709457397455,0.12869387865066528,0.15168339170446588,0.0017235279083251953,0.025194805194805193,,,90,76,0.8444444444444444,0.0,462,462,1.0,0.05411255411255411,838,838,1.0,0.0,340,340,1.0,0.0,394,394,1.0,0.0,1245,1245,1.0,0.03132530120481928,495,495,1.0,0.06666666666666667,0,False,
link3_sensor_1,link3,3864,3850,0.9963768115942029,0.37896103896103894,0.0651948051948052,0.012727272727272728,0.0,0.0,0.3812111801242236,0.06858178053830227,0.016304347826086956,0.0036231884057971015,0.7917188596918985,0.5772794000750002,0.17314956709742546,0.6060334146022797,2.0559055685997003,0.08876077830791473,0.1633378784210898,0.0016849637031555176,0.0651948051948052,,,90,76,0.8444444444444444,0.06578947368421052,462,462,1.0,0.0670995670995671,838,838,1.0,0.06921241050119331,340,340,1.0,0.029411764705882353,394,394,1.0,0.06598984771573604,1245,1245,1.0,0.07068273092369477,495,495,1.0,0.06666666666666667,0,False,
link3_sensor_2,link3,3864,3850,0.9963768115942029,0.32805194805194804,0.040779220779220776,0.0007792207792207792,0.0007792207792207792,0.0007792207792207792,0.3304865424430642,0.04425465838509317,0.004399585921325052,0.004399585921325052,1.0821413531328565,0.7433629613237142,0.25456726551055914,0.9886028170585632,2.4178009033203125,0.04180796816945076,0.15229926424604578,0.0020313262939453125,0.040779220779220776,,,90,76,0.8444444444444444,0.0,462,462,1.0,0.05411255411255411,838,838,1.0,0.0,340,340,1.0,0.0058823529411764705,394,394,1.0,0.04314720812182741,1245,1245,1.0,0.0642570281124498,495,495,1.0,0.06666666666666667,0,False,
