sensor_name,link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link3_sensor_4,link3,post_place,1245,1245,1.0,0.08353413654618475
link3_sensor_4,link3,unknown,495,495,1.0,0.13333333333333333
link3_sensor_5,link3,approach,90,76,0.8444444444444444,0.06578947368421052
link3_sensor_5,link3,pregrasp,462,462,1.0,0.07792207792207792
link3_sensor_5,link3,grasp_lift,838,838,1.0,0.06921241050119331
link3_sensor_5,link3,transit,340,340,1.0,0.029411764705882353
link3_sensor_5,link3,place,394,394,1.0,0.06852791878172589
link3_sensor_5,link3,post_place,1245,1245,1.0,0.07068273092369477
link3_sensor_5,link3,unknown,495,495,1.0,0.06666666666666667
link3_sensor_6,link3,approach,90,76,0.8444444444444444,0.0
link3_sensor_6,link3,pregrasp,462,462,1.0,0.08008658008658008
link3_sensor_6,link3,grasp_lift,838,838,1.0,0.0
link3_sensor_6,link3,transit,340,340,1.0,0.0
link3_sensor_6,link3,place,394,394,1.0,0.0
link3_sensor_6,link3,post_place,1245,1245,1.0,0.06345381526104418
link3_sensor_6,link3,unknown,495,495,1.0,0.13333333333333333
link3_sensor_7,link3,approach,90,76,0.8444444444444444,0.0
link3_sensor_7,link3,pregrasp,462,462,1.0,0.0021645021645021645
link3_sensor_7,link3,grasp_lift,838,838,1.0,0.0
link3_sensor_7,link3,transit,340,340,1.0,0.0
link3_sensor_7,link3,place,394,394,1.0,0.0
link3_sensor_7,link3,post_place,1245,1245,1.0,0.0008032128514056225
link3_sensor_7,link3,unknown,495,495,1.0,0.0
link5_sensor_0,link5,approach,90,76,0.8444444444444444,0.13157894736842105
link5_sensor_0,link5,pregrasp,462,462,1.0,0.07575757575757576
link5_sensor_0,link5,grasp_lift,838,838,1.0,0.12649164677804295
link5_sensor_0,link5,transit,340,340,1.0,0.03529411764705882
link5_sensor_0,link5,place,394,394,1.0,0.08121827411167512
link5_sensor_0,link5,post_place,1245,1245,1.0,0.0819277108433735
link5_sensor_0,link5,unknown,495,495,1.0,0.13333333333333333
link5_sensor_1,link5,approach,90,76,0.8444444444444444,0.13157894736842105
link5_sensor_1,link5,pregrasp,462,462,1.0,0.09307359307359307
link5_sensor_1,link5,grasp_lift,838,838,1.0,0.09785202863961814
link5_sensor_1,link5,transit,340,340,1.0,0.13529411764705881
link5_sensor_1,link5,place,394,394,1.0,0.13451776649746192
link5_sensor_1,link5,post_place,1245,1245,1.0,0.10682730923694779
link5_sensor_1,link5,unknown,495,495,1.0,0.13333333333333333
link5_sensor_2,link5,approach,90,76,0.8444444444444444,0.13157894736842105
link5_sensor_2,link5,pregrasp,462,462,1.0,0.08658008658008658
link5_sensor_2,link5,grasp_lift,838,838,1.0,0.12649164677804295
link5_sensor_2,link5,transit,340,338,0.9941176470588236,0.07692307692307693
link5_sensor_2,link5,place,394,388,0.9847715736040609,0.13659793814432988
link5_sensor_2,link5,post_place,1245,1234,0.9911646586345382,0.10048622366288493
link5_sensor_2,link5,unknown,495,495,1.0,0.13333333333333333
link5_sensor_3,link5,approach,90,76,0.8444444444444444,0.19736842105263158
link5_sensor_3,link5,pregrasp,462,462,1.0,0.20346320346320346
link5_sensor_3,link5,grasp_lift,838,838,1.0,0.19928400954653938
link5_sensor_3,link5,transit,340,340,1.0,0.1
link5_sensor_3,link5,place,394,394,1.0,0.19796954314720813
link5_sensor_3,link5,post_place,1245,1245,1.0,0.1686746987951807
link5_sensor_3,link5,unknown,495,495,1.0,0.13333333333333333
link5_sensor_4,link5,approach,90,76,0.8444444444444444,0.13157894736842105
link5_sensor_4,link5,pregrasp,462,462,1.0,0.1038961038961039
link5_sensor_4,link5,grasp_lift,838,838,1.0,0.15632458233890215
link5_sensor_4,link5,transit,340,340,1.0,0.14411764705882352
link5_sensor_4,link5,place,394,394,1.0,0.13451776649746192
link5_sensor_4,link5,post_place,1245,1245,1.0,0.1180722891566265
link5_sensor_4,link5,unknown,495,495,1.0,0.13333333333333333
link5_sensor_5,link5,approach,90,76,0.8444444444444444,0.13157894736842105
link5_sensor_5,link5,pregrasp,462,462,1.0,0.08874458874458875
link5_sensor_5,link5,grasp_lift,838,838,1.0,0.12649164677804295
link5_sensor_5,link5,transit,340,340,1.0,0.12352941176470589
