link,n_sensors,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_50m,activation_lt_0_20m,activation_lt_0_10m,activation_lt_0_05m,near_saturation_lt_0_05m,raw_frame_activation_lt_0_50m,raw_frame_activation_lt_0_20m,raw_frame_activation_lt_0_10m,raw_frame_activation_lt_0_05m,mean_min_depth_m,std_min_depth_m,p05_min_depth_m,p50_min_depth_m,p95_min_depth_m,min_depth_m,median_within_traj_std_m,median_frame_to_frame_abs_diff_m,success_activation_lt_0_20m,failure_activation_lt_0_20m,success_minus_failure_activation_lt_0_20m,phase_approach_n_frames,phase_approach_n_valid_frames,phase_approach_valid_frame_ratio,phase_approach_activation_lt_0_20m,phase_pregrasp_n_frames,phase_pregrasp_n_valid_frames,phase_pregrasp_valid_frame_ratio,phase_pregrasp_activation_lt_0_20m,phase_grasp_lift_n_frames,phase_grasp_lift_n_valid_frames,phase_grasp_lift_valid_frame_ratio,phase_grasp_lift_activation_lt_0_20m,phase_transit_n_frames,phase_transit_n_valid_frames,phase_transit_valid_frame_ratio,phase_transit_activation_lt_0_20m,phase_place_n_frames,phase_place_n_valid_frames,phase_place_valid_frame_ratio,phase_place_activation_lt_0_20m,phase_post_place_n_frames,phase_post_place_n_valid_frames,phase_post_place_valid_frame_ratio,phase_post_place_activation_lt_0_20m,phase_unknown_n_frames,phase_unknown_n_valid_frames,phase_unknown_valid_frame_ratio,phase_unknown_activation_lt_0_20m,phase_spread_active_phase_count,suspicious_self_sensing,suspicious_reason
link2,7,27461,27398,0.9977058373693601,0.3094751441711074,0.014599605810643113,0.0,0.0,0.0,0.311059320490878,0.01686027457121008,0.0022941626306398166,0.0022941626306398166,1.0239342376453802,0.7359276301600616,0.24483472779393198,0.84044349193573,2.4392852306365964,0.12789210677146912,0.24864064170492223,0.0017631053924560547,0.014599605810643113,,,637,574,0.9010989010989011,0.020905923344947737,4277,4277,1.0,0.008884732288987608,6076,6076,1.0,0.010039499670836076,1848,1848,1.0,0.013528138528138528,2443,2443,1.0,0.018419975440032748,8715,8715,1.0,0.01755593803786575,3465,3465,1.0,0.01904761904761905,0,False,
link3,8,31384,31295,0.9971641600815703,0.18478990254034192,0.00012781594503914363,0.00012781594503914363,0.00012781594503914363,0.00012781594503914363,0.18656003058883508,0.002421616110119806,0.002421616110119806,0.002421616110119806,1.1733978376003202,0.7174372421852179,0.2625065356492996,1.0201665163040161,2.5192458152770993,0.043120209127664566,0.23040449230814636,0.0021636784076690674,0.00012781594503914363,,,728,656,0.9010989010989011,0.0,4888,4884,0.9991816693944353,0.00020475020475020476,6944,6944,1.0,0.00014400921658986175,2112,2112,1.0,0.0,2792,2790,0.9992836676217765,0.0,9960,9949,0.9988955823293173,0.0002010252286661976,3960,3960,1.0,0.0,0,False,
link5,6,23538,23483,0.9976633528762002,0.26146574117446664,0.05271898820423285,0.008516799386790444,8.516799386790444e-05,8.516799386790444e-05,0.26314895063301896,0.05488996516271561,0.010791061262639137,0.0023791316169598097,1.186003401751917,0.7946998120701394,0.19513300508260728,1.0605062246322632,2.7558220148086523,0.04120229184627533,0.3023127152143192,0.003063701093196869,0.05271898820423285,,,546,492,0.9010989010989011,0.08333333333333333,3666,3666,1.0,0.024004364429896344,5208,5208,1.0,0.08198924731182795,1584,1584,1.0,0.04861111111111111,2094,2094,1.0,0.09789875835721108,7470,7469,0.9998661311914324,0.04913643057972955,2970,2970,1.0,0.011111111111111112,0,False,
link6,8,31384,31312,0.9977058373693601,0.37963081246806335,0.1020056208482371,0.007217680122636689,0.0030978538579458353,0.0030978538579458353,0.3810540402752995,0.10406576599541167,0.00949528422125924,0.005384909508029569,0.7844237995095548,0.595832219592935,0.1422134183347225,0.630544513463974,2.1270917177200315,0.04119356349110603,0.16490708321823477,0.0014923661947250366,0.1020056208482371,,,728,656,0.9010989010989011,0.17530487804878048,4888,4888,1.0,0.047872340425531915,6944,6944,1.0,0.17353110599078342,2112,2112,1.0,0.140625,2792,2792,1.0,0.15687679083094555,9960,9960,1.0,0.07761044176706827,3960,3960,1.0,0.03333333333333333,0,False,
