link,n_sensors,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_50m,activation_lt_0_20m,activation_lt_0_10m,activation_lt_0_05m,near_saturation_lt_0_05m,raw_frame_activation_lt_0_50m,raw_frame_activation_lt_0_20m,raw_frame_activation_lt_0_10m,raw_frame_activation_lt_0_05m,mean_min_depth_m,std_min_depth_m,p05_min_depth_m,p50_min_depth_m,p95_min_depth_m,min_depth_m,median_within_traj_std_m,median_frame_to_frame_abs_diff_m,success_activation_lt_0_20m,failure_activation_lt_0_20m,success_minus_failure_activation_lt_0_20m,phase_approach_n_frames,phase_approach_n_valid_frames,phase_approach_valid_frame_ratio,phase_approach_activation_lt_0_20m,phase_pregrasp_n_frames,phase_pregrasp_n_valid_frames,phase_pregrasp_valid_frame_ratio,phase_pregrasp_activation_lt_0_20m,phase_grasp_lift_n_frames,phase_grasp_lift_n_valid_frames,phase_grasp_lift_valid_frame_ratio,phase_grasp_lift_activation_lt_0_20m,phase_transit_n_frames,phase_transit_n_valid_frames,phase_transit_valid_frame_ratio,phase_transit_activation_lt_0_20m,phase_place_n_frames,phase_place_n_valid_frames,phase_place_valid_frame_ratio,phase_place_activation_lt_0_20m,phase_post_place_n_frames,phase_post_place_n_valid_frames,phase_post_place_valid_frame_ratio,phase_post_place_activation_lt_0_20m,phase_unknown_n_frames,phase_unknown_n_valid_frames,phase_unknown_valid_frame_ratio,phase_unknown_activation_lt_0_20m,phase_spread_active_phase_count,suspicious_self_sensing,suspicious_reason
link2,7,27167,27118,0.9981963411491883,0.27247584630134963,0.021572387344199424,0.0,0.0,0.0,0.2737880516803475,0.02333713696764457,0.0018036588508116465,0.0018036588508116465,0.9498075482038034,0.5523480595603314,0.2536140471696854,0.9002290368080139,1.9439957618713364,0.14843398332595825,0.22111630059622628,0.0015758275985717773,0.021572387344199424,,,651,602,0.9247311827956989,0.019933554817275746,3913,3913,1.0,0.013544594939943777,6447,6447,1.0,0.02264619202729952,1890,1890,1.0,0.0291005291005291,2478,2478,1.0,0.020177562550443905,8673,8673,1.0,0.021561166839617202,3115,3115,1.0,0.026324237560192615,0,False,
link3,8,31048,30992,0.9981963411491883,0.12170882808466701,0.0017423851316468767,3.2266391326794014e-05,3.2266391326794014e-05,3.2266391326794014e-05,0.12329296573048183,0.0035429013140943055,0.0018358670445761402,0.0018358670445761402,1.0771198487034286,0.4808443506969128,0.26266653537750245,1.0821945667266846,1.860634660720825,0.040881142020225525,0.17209776281674077,0.002110198140144348,0.0017423851316468767,,,744,688,0.9247311827956989,0.007267441860465116,4472,4472,1.0,0.0,7368,7368,1.0,0.00013572204125950055,2160,2160,1.0,0.001388888888888889,2832,2832,1.0,0.00882768361581921,9912,9912,1.0,0.0020177562550443904,3560,3560,1.0,0.0,0,False,
link5,6,23286,23244,0.9981963411491883,0.1088022715539494,0.0036998795388057133,0.0,0.0,0.0,0.11040968822468436,0.005496865069140256,0.0018036588508116465,0.0018036588508116465,1.187518529845888,0.49237947455642567,0.41109435856342313,1.1840447783470154,1.9901286125183095,0.13324938714504242,0.2242920021965913,0.003030940890312195,0.0036998795388057133,,,558,516,0.9247311827956989,0.0,3354,3354,1.0,0.002385211687537269,5526,5526,1.0,0.0066956207021353605,1620,1620,1.0,0.0030864197530864196,2124,2124,1.0,0.006120527306967985,7434,7434,1.0,0.003093892924401399,2670,2670,1.0,0.0,0,False,
link6,8,31048,30992,0.9981963411491883,0.3581246773360867,0.03901006711409396,0.00909912235415591,0.0004839958699019102,0.0004839958699019102,0.35928240144292706,0.04074336511208451,0.010886369492398866,0.002286781757279052,0.8792160760975991,0.5893173017383166,0.22476740479469298,0.6743383705615997,2.0464603900909424,0.041317012161016464,0.19852719966745058,0.0025405287742614746,0.03901006711409396,,,744,688,0.9247311827956989,0.06976744186046512,4472,4472,1.0,0.02370304114490161,7368,7368,1.0,0.05646036916395222,2160,2160,1.0,0.047685185185185185,2832,2832,1.0,0.05614406779661017,9912,9912,1.0,0.038034705407586765,3560,3560,1.0,0.0,0,False,
