link,n_sensors,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_50m,activation_lt_0_20m,activation_lt_0_10m,activation_lt_0_05m,near_saturation_lt_0_05m,raw_frame_activation_lt_0_50m,raw_frame_activation_lt_0_20m,raw_frame_activation_lt_0_10m,raw_frame_activation_lt_0_05m,mean_min_depth_m,std_min_depth_m,p05_min_depth_m,p50_min_depth_m,p95_min_depth_m,min_depth_m,median_within_traj_std_m,median_frame_to_frame_abs_diff_m,success_activation_lt_0_20m,failure_activation_lt_0_20m,success_minus_failure_activation_lt_0_20m,phase_approach_n_frames,phase_approach_n_valid_frames,phase_approach_valid_frame_ratio,phase_approach_activation_lt_0_20m,phase_pregrasp_n_frames,phase_pregrasp_n_valid_frames,phase_pregrasp_valid_frame_ratio,phase_pregrasp_activation_lt_0_20m,phase_grasp_lift_n_frames,phase_grasp_lift_n_valid_frames,phase_grasp_lift_valid_frame_ratio,phase_grasp_lift_activation_lt_0_20m,phase_transit_n_frames,phase_transit_n_valid_frames,phase_transit_valid_frame_ratio,phase_transit_activation_lt_0_20m,phase_place_n_frames,phase_place_n_valid_frames,phase_place_valid_frame_ratio,phase_place_activation_lt_0_20m,phase_post_place_n_frames,phase_post_place_n_valid_frames,phase_post_place_valid_frame_ratio,phase_post_place_activation_lt_0_20m,phase_unknown_n_frames,phase_unknown_n_valid_frames,phase_unknown_valid_frame_ratio,phase_unknown_activation_lt_0_20m,phase_spread_active_phase_count,suspicious_self_sensing,suspicious_reason
link2,7,26005,25921,0.9967698519515478,0.31742602523050806,0.0001543150341422013,0.0001543150341422013,0.0001543150341422013,0.0001543150341422013,0.319630840223034,0.003383964622188041,0.003383964622188041,0.003383964622188041,0.9913731552729448,0.6740673835769964,0.26516082882881165,0.8943328261375427,2.3256778717041016,0.04497825354337692,0.19427161055886705,0.001671433448791504,0.0001543150341422013,,,602,518,0.8604651162790697,0.0,3808,3808,1.0,0.0002626050420168067,5495,5495,1.0,0.0,2394,2394,1.0,0.0004177109440267335,2387,2387,1.0,0.00041893590280687055,8134,8134,1.0,0.00012294074256208508,3185,3185,1.0,0.0,0,False,
link3,8,29720,29624,0.9967698519515478,0.22650553605184987,0.03696327302187415,0.0003038077234674588,0.00027005130974885227,0.00027005130974885227,0.22900403768506056,0.040074024226110366,0.0035329744279946162,0.0034993270524899056,1.132582829461606,0.6985366963665269,0.21309425681829453,1.1174486875534058,2.4098183274269105,0.041753046214580536,0.20442342338806116,0.0017574429512023926,0.03696327302187415,,,688,592,0.8604651162790697,0.05067567567567568,4352,4352,1.0,0.023667279411764705,6280,6280,1.0,0.04856687898089172,2736,2736,1.0,0.03070175438596491,2728,2728,1.0,0.04655425219941349,9296,9296,1.0,0.03732788296041308,3640,3640,1.0,0.0271978021978022,0,False,
link5,6,22290,22081,0.9906235980260206,0.24088582944613016,0.06652778406775056,0.026221638512748516,0.009148136406865631,0.009148136406865631,0.24185733512786003,0.06913414087034545,0.029205921938088828,0.012292507851054284,1.2901903272625297,0.8968918638617551,0.15872786939144135,1.0863428115844727,3.048604965209961,0.044609520584344864,0.2663920139340241,0.0028966665267944336,0.06652778406775056,,,516,444,0.8604651162790697,0.07882882882882883,3264,3257,0.9978553921568627,0.04789683758059564,4710,4708,0.9995753715498938,0.11023789294817332,2052,2050,0.9990253411306043,0.06,2046,2046,1.0,0.06989247311827956,6972,6912,0.9913941480206541,0.06163194444444445,2730,2664,0.9758241758241758,0.02515015015015015,0,False,
link6,8,29720,29433,0.990343203230148,0.7240852104780349,0.21642374205823395,0.08290014609451976,0.014915231203071382,0.014915231203071382,0.7203230148048452,0.21756393001345894,0.08532974427994616,0.01800134589502019,0.5091765409967898,0.5566930300875227,0.07787844687700271,0.36262625455856323,1.4705326080322245,0.04440758749842644,0.1277474014388451,0.0007962547242641449,0.21642374205823395,,,688,589,0.8561046511627907,0.21222410865874364,4352,4309,0.9901194852941176,0.22464608957994894,6280,6145,0.9785031847133758,0.33474369406021154,2736,2727,0.9967105263157895,0.314998166483315,2728,2728,1.0,0.20454545454545456,9296,9295,0.9998924268502581,0.16557288864981173,3640,3640,1.0,0.07252747252747253,5,True,activation_spread_across_many_phases
