sensor_name,link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link3_sensor_5,link3,transit,359,359,1.0,0.0
link3_sensor_5,link3,place,385,385,1.0,0.0025974025974025974
link3_sensor_5,link3,post_place,1245,1245,1.0,0.001606425702811245
link3_sensor_5,link3,unknown,495,495,1.0,0.0
link3_sensor_6,link3,approach,91,77,0.8461538461538461,0.07792207792207792
link3_sensor_6,link3,pregrasp,535,535,1.0,0.12710280373831775
link3_sensor_6,link3,grasp_lift,820,820,1.0,0.07439024390243902
link3_sensor_6,link3,transit,359,359,1.0,0.08356545961002786
link3_sensor_6,link3,place,385,385,1.0,0.07532467532467532
link3_sensor_6,link3,post_place,1245,1245,1.0,0.11566265060240964
link3_sensor_6,link3,unknown,495,495,1.0,0.2
link3_sensor_7,link3,approach,91,77,0.8461538461538461,0.0
link3_sensor_7,link3,pregrasp,535,535,1.0,0.0
link3_sensor_7,link3,grasp_lift,820,820,1.0,0.0
link3_sensor_7,link3,transit,359,359,1.0,0.0
link3_sensor_7,link3,place,385,385,1.0,0.0
link3_sensor_7,link3,post_place,1245,1245,1.0,0.0
link3_sensor_7,link3,unknown,495,495,1.0,0.0
link5_sensor_0,link5,approach,91,77,0.8461538461538461,0.0
link5_sensor_0,link5,pregrasp,535,535,1.0,0.0
link5_sensor_0,link5,grasp_lift,820,820,1.0,0.0012195121951219512
link5_sensor_0,link5,transit,359,359,1.0,0.0
link5_sensor_0,link5,place,385,385,1.0,0.0
link5_sensor_0,link5,post_place,1245,1245,1.0,0.0
link5_sensor_0,link5,unknown,495,495,1.0,0.0
link5_sensor_1,link5,approach,91,77,0.8461538461538461,0.06493506493506493
link5_sensor_1,link5,pregrasp,535,535,1.0,0.048598130841121495
link5_sensor_1,link5,grasp_lift,820,820,1.0,0.05853658536585366
link5_sensor_1,link5,transit,359,359,1.0,0.036211699164345405
link5_sensor_1,link5,place,385,385,1.0,0.06233766233766234
link5_sensor_1,link5,post_place,1245,1243,0.9983935742971888,0.02252614641995173
link5_sensor_1,link5,unknown,495,495,1.0,0.0
link5_sensor_2,link5,approach,91,77,0.8461538461538461,0.06493506493506493
link5_sensor_2,link5,pregrasp,535,535,1.0,0.026168224299065422
link5_sensor_2,link5,grasp_lift,820,820,1.0,0.05853658536585366
link5_sensor_2,link5,transit,359,359,1.0,0.011142061281337047
link5_sensor_2,link5,place,385,385,1.0,0.06233766233766234
link5_sensor_2,link5,post_place,1245,1245,1.0,0.015261044176706828
link5_sensor_2,link5,unknown,495,495,1.0,0.0
link5_sensor_3,link5,approach,91,77,0.8461538461538461,0.06493506493506493
link5_sensor_3,link5,pregrasp,535,535,1.0,0.05794392523364486
link5_sensor_3,link5,grasp_lift,820,820,1.0,0.11707317073170732
link5_sensor_3,link5,transit,359,359,1.0,0.08913649025069638
link5_sensor_3,link5,place,385,385,1.0,0.06753246753246753
link5_sensor_3,link5,post_place,1245,1245,1.0,0.024096385542168676
link5_sensor_3,link5,unknown,495,495,1.0,0.0
link5_sensor_4,link5,approach,91,77,0.8461538461538461,0.09090909090909091
link5_sensor_4,link5,pregrasp,535,535,1.0,0.05420560747663551
link5_sensor_4,link5,grasp_lift,820,820,1.0,0.05975609756097561
link5_sensor_4,link5,transit,359,359,1.0,0.03899721448467967
link5_sensor_4,link5,place,385,385,1.0,0.06493506493506493
link5_sensor_4,link5,post_place,1245,1245,1.0,0.027309236947791166
