link,n_sensors,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_50m,activation_lt_0_20m,activation_lt_0_10m,activation_lt_0_05m,near_saturation_lt_0_05m,raw_frame_activation_lt_0_50m,raw_frame_activation_lt_0_20m,raw_frame_activation_lt_0_10m,raw_frame_activation_lt_0_05m,mean_min_depth_m,std_min_depth_m,p05_min_depth_m,p50_min_depth_m,p95_min_depth_m,min_depth_m,median_within_traj_std_m,median_frame_to_frame_abs_diff_m,success_activation_lt_0_20m,failure_activation_lt_0_20m,success_minus_failure_activation_lt_0_20m,phase_approach_n_frames,phase_approach_n_valid_frames,phase_approach_valid_frame_ratio,phase_approach_activation_lt_0_20m,phase_pregrasp_n_frames,phase_pregrasp_n_valid_frames,phase_pregrasp_valid_frame_ratio,phase_pregrasp_activation_lt_0_20m,phase_grasp_lift_n_frames,phase_grasp_lift_n_valid_frames,phase_grasp_lift_valid_frame_ratio,phase_grasp_lift_activation_lt_0_20m,phase_transit_n_frames,phase_transit_n_valid_frames,phase_transit_valid_frame_ratio,phase_transit_activation_lt_0_20m,phase_place_n_frames,phase_place_n_valid_frames,phase_place_valid_frame_ratio,phase_place_activation_lt_0_20m,phase_post_place_n_frames,phase_post_place_n_valid_frames,phase_post_place_valid_frame_ratio,phase_post_place_activation_lt_0_20m,phase_unknown_n_frames,phase_unknown_n_valid_frames,phase_unknown_valid_frame_ratio,phase_unknown_activation_lt_0_20m,phase_spread_active_phase_count,suspicious_self_sensing,suspicious_reason
link2,7,27510,27412,0.9964376590330789,0.39468116153509414,0.033124179191594924,0.003319713993871297,7.296074711805048e-05,7.296074711805048e-05,0.39683751363140674,0.036568520537986184,0.006870229007633588,0.0036350418029807343,0.9719305617940541,0.7580513121571967,0.2396437369287014,0.7202845215797424,2.497950589656827,0.04367376118898392,0.23687956773640687,0.0014025121927261353,0.033124179191594924,,,637,539,0.8461538461538461,0.04081632653061224,3745,3745,1.0,0.02403204272363151,5740,5740,1.0,0.024390243902439025,2513,2513,1.0,0.030242737763629127,2695,2695,1.0,0.03970315398886828,8715,8715,1.0,0.035341365461847386,3465,3465,1.0,0.047619047619047616,0,False,
link3,8,31440,31318,0.996119592875318,0.2833833578133981,0.04425569959767546,0.015614023884028353,0.005140813589628967,0.005140813589628967,0.28584605597964374,0.04764631043256998,0.019115776081424937,0.008683206106870229,1.0428104202559663,0.730594919005664,0.21301207244396209,0.846560150384903,2.4461813092231743,0.04254747927188873,0.1674420790473168,0.002130284905433655,0.04425569959767546,,,728,616,0.8461538461538461,0.021103896103896104,4280,4275,0.9988317757009346,0.04818713450292398,6560,6560,1.0,0.047103658536585366,2872,2872,1.0,0.0383008356545961,3080,3080,1.0,0.024025974025974027,9960,9955,0.9994979919678715,0.04118533400301356,3960,3960,1.0,0.06666666666666667,0,False,
link5,6,23580,23454,0.9946564885496183,0.230280549160058,0.03261703760552571,0.0003410932037179159,0.0003410932037179159,0.0003410932037179159,0.23261238337574217,0.036005089058524176,0.0039016115351993216,0.0039016115351993216,1.3159212575383736,0.8808232001108878,0.23955768123269083,1.1157811880111694,2.8762570142745947,0.04119356349110603,0.28805757480933614,0.003300786018371582,0.03261703760552571,,,546,462,0.8461538461538461,0.05844155844155844,3210,3210,1.0,0.03644859813084112,4920,4920,1.0,0.05894308943089431,2154,2154,1.0,0.033426183844011144,2310,2310,1.0,0.053246753246753244,7470,7461,0.9987951807228915,0.018228119555019434,2970,2937,0.9888888888888889,0.0,0,False,
link6,8,31440,31255,0.994115776081425,0.32110062390017596,0.04213725803871381,0.00022396416573348266,6.39897616381379e-05,6.39897616381379e-05,0.3227735368956743,0.045451653944020357,0.0037849872773536896,0.0036259541984732823,1.0958023393971554,0.8789387553180903,0.2017809420824051,0.7355147004127502,2.908500838279724,0.04479245841503143,0.21060083472809046,0.0014332234859466553,0.04213725803871381,,,728,616,0.8461538461538461,0.037337662337662336,4280,4275,0.9988317757009346,0.02128654970760234,6560,6512,0.9926829268292683,0.13513513513513514,2872,2859,0.9954735376044568,0.03497726477789437,3080,3079,0.9996753246753247,0.0220850925625203,9960,9954,0.9993975903614458,0.01225637934498694,3960,3960,1.0,0.008333333333333333,0,False,
