sensor_name,link,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_50m,activation_lt_0_20m,activation_lt_0_10m,activation_lt_0_05m,near_saturation_lt_0_05m,raw_frame_activation_lt_0_50m,raw_frame_activation_lt_0_20m,raw_frame_activation_lt_0_10m,raw_frame_activation_lt_0_05m,mean_min_depth_m,std_min_depth_m,p05_min_depth_m,p50_min_depth_m,p95_min_depth_m,min_depth_m,median_within_traj_std_m,median_frame_to_frame_abs_diff_m,success_activation_lt_0_20m,failure_activation_lt_0_20m,success_minus_failure_activation_lt_0_20m,phase_approach_n_frames,phase_approach_n_valid_frames,phase_approach_valid_frame_ratio,phase_approach_activation_lt_0_20m,phase_pregrasp_n_frames,phase_pregrasp_n_valid_frames,phase_pregrasp_valid_frame_ratio,phase_pregrasp_activation_lt_0_20m,phase_grasp_lift_n_frames,phase_grasp_lift_n_valid_frames,phase_grasp_lift_valid_frame_ratio,phase_grasp_lift_activation_lt_0_20m,phase_transit_n_frames,phase_transit_n_valid_frames,phase_transit_valid_frame_ratio,phase_transit_activation_lt_0_20m,phase_place_n_frames,phase_place_n_valid_frames,phase_place_valid_frame_ratio,phase_place_activation_lt_0_20m,phase_post_place_n_frames,phase_post_place_n_valid_frames,phase_post_place_valid_frame_ratio,phase_post_place_activation_lt_0_20m,phase_unknown_n_frames,phase_unknown_n_valid_frames,phase_unknown_valid_frame_ratio,phase_unknown_activation_lt_0_20m,phase_spread_active_phase_count,suspicious_self_sensing,suspicious_reason
link2_sensor_0,link2,3930,3916,0.9964376590330789,0.5385597548518897,0.02247191011235955,0.0,0.0,0.0,0.5402035623409669,0.025954198473282442,0.0035623409669211198,0.0035623409669211198,0.7935582914516193,0.7031208306953688,0.24738789349794388,0.4614953100681305,2.3711156845092773,0.1445343941450119,0.2535959501243217,0.0011017024517059326,0.02247191011235955,,,91,77,0.8461538461538461,0.06493506493506493,535,535,1.0,0.0,820,820,1.0,0.0,359,359,1.0,0.008356545961002786,385,385,1.0,0.07532467532467532,1245,1245,1.0,0.04096385542168675,495,495,1.0,0.0,0,False,
link2_sensor_1,link2,3930,3916,0.9964376590330789,0.23391215526046988,0.0,0.0,0.0,0.0,0.2366412213740458,0.0035623409669211198,0.0035623409669211198,0.0035623409669211198,1.0477015985988376,0.7177846555241864,0.30692194402217865,0.8624738156795502,2.7123334407806396,0.2133282572031021,0.4130566456814723,0.001827523112297058,0.0,,,91,77,0.8461538461538461,0.0,535,535,1.0,0.0,820,820,1.0,0.0,359,359,1.0,0.0,385,385,1.0,0.0,1245,1245,1.0,0.0,495,495,1.0,0.0,0,False,
link2_sensor_2,link2,3930,3916,0.9964376590330789,0.2957099080694586,0.054136874361593465,0.022727272727272728,0.0,0.0,0.29821882951653944,0.05750636132315522,0.026208651399491092,0.0035623409669211198,1.0568074657970825,0.7390797664435482,0.18304204568266869,0.8376345634460449,2.637633264064789,0.05350621044635773,0.1651133893267202,0.0013541579246520996,0.054136874361593465,,,91,77,0.8461538461538461,0.012987012987012988,535,535,1.0,0.0691588785046729,820,820,1.0,0.07439024390243902,359,359,1.0,0.052924791086350974,385,385,1.0,0.0,1245,1245,1.0,0.02248995983935743,495,495,1.0,0.13333333333333333,0,False,
link2_sensor_3,link2,3930,3916,0.9964376590330789,0.44254341164453526,0.016598569969356484,0.0,0.0,0.0,0.444529262086514,0.02010178117048346,0.0035623409669211198,0.0035623409669211198,0.890956404149928,0.718198802932684,0.25694967061281204,0.6745725870132446,2.7314674854278564,0.14960475265979767,0.3605931357289338,0.0017647147178649902,0.016598569969356484,,,91,77,0.8461538461538461,0.06493506493506493,535,535,1.0,0.0,820,820,1.0,0.0,359,359,1.0,0.04456824512534819,385,385,1.0,0.07272727272727272,1245,1245,1.0,0.01285140562248996,495,495,1.0,0.0,0,False,
link2_sensor_4,link2,3930,3916,0.9964376590330789,0.13457609805924411,0.0,0.0,0.0,0.0,0.13765903307888042,0.0035623409669211198,0.0035623409669211198,0.0035623409669211198,1.415159453973707,0.7737375602165627,0.27367161959409714,1.3638671040534973,2.6176917552948,0.26321473717689514,0.15779418922367675,0.0025436878204345703,0.0,,,91,77,0.8461538461538461,0.0,535,535,1.0,0.0,820,820,1.0,0.0,359,359,1.0,0.0,385,385,1.0,0.0,1245,1245,1.0,0.0,495,495,1.0,0.0,0,False,
link2_sensor_5,link2,3930,3916,0.9964376590330789,0.15423901940755874,0.0,0.0,0.0,0.0,0.15725190839694655,0.0035623409669211198,0.0035623409669211198,0.0035623409669211198,1.30245724899563,0.7197495856676505,0.24836327880620956,1.2621492147445679,2.6617791056632996,0.23683860898017883,0.2350330383828557,0.0039861202239990234,0.0,,,91,77,0.8461538461538461,0.0,535,535,1.0,0.0,820,820,1.0,0.0,359,359,1.0,0.0,385,385,1.0,0.0,1245,1245,1.0,0.0,495,495,1.0,0.0,0,False,
link2_sensor_6,link2,3930,3916,0.9964376590330789,0.9632277834525026,0.13866189989785496,0.0005107252298263534,0.0005107252298263534,0.0005107252298263534,0.9633587786259542,0.14173027989821882,0.004071246819338422,0.004071246819338422,0.2968734695915745,0.14635740325370913,0.14034786820411682,0.2686942219734192,0.46080372482538223,0.04367376118898392,0.047028632411418844,0.0004999935626983643,0.13866189989785496,,,91,77,0.8461538461538461,0.14285714285714285,535,535,1.0,0.09906542056074766,820,820,1.0,0.09634146341463415,359,359,1.0,0.10584958217270195,385,385,1.0,0.12987012987012986,1245,1245,1.0,0.1710843373493976,495,495,1.0,0.2,1,False,
link3_sensor_0,link3,3930,3916,0.9964376590330789,0.12793667007150153,0.008937691521961185,0.0,0.0,0.0,0.13104325699745548,0.012468193384223919,0.0035623409669211198,0.0035623409669211198,1.4152751436097448,0.8446868238513573,0.2929069325327873,1.146881341934204,2.791068911552429,0.16749010980129242,0.2361077949147613,0.0024701952934265137,0.008937691521961185,,,91,77,0.8461538461538461,0.0,535,535,1.0,0.0,820,820,1.0,0.042682926829268296,359,359,1.0,0.0,385,385,1.0,0.0,1245,1245,1.0,0.0,495,495,1.0,0.0,0,False,
link3_sensor_1,link3,3930,3916,0.9964376590330789,0.2454034729315628,0.0002553626149131767,0.0002553626149131767,0.0002553626149131767,0.0002553626149131767,0.2480916030534351,0.003816793893129771,0.003816793893129771,0.003816793893129771,1.0431684153982124,0.5852111995565797,0.27493860572576523,0.9845220446586609,1.969040870666504,0.04367376118898392,0.09270624239740968,0.0022950321435928345,0.0002553626149131767,,,91,77,0.8461538461538461,0.0,535,535,1.0,0.0,820,820,1.0,0.0,359,359,1.0,0.0,385,385,1.0,0.0,1245,1245,1.0,0.0008032128514056225,495,495,1.0,0.0,0,False,
link3_sensor_2,link3,3930,3906,0.9938931297709923,0.32693292370711724,0.18689196108550948,0.07629288274449565,0.03225806451612903,0.03225806451612903,0.328498727735369,0.18931297709923664,0.07938931297709924,0.035623409669211195,0.98531786173666,0.827249342706605,0.0725304577499628,0.8484829068183899,2.5301252603530884,0.04254747927188873,0.15322095920578946,0.001861572265625,0.18689196108550948,,,91,77,0.8461538461538461,0.07792207792207792,535,530,0.9906542056074766,0.2339622641509434,820,820,1.0,0.1329268292682927,359,359,1.0,0.17270194986072424,385,385,1.0,0.11428571428571428,1245,1240,0.9959839357429718,0.20403225806451614,495,495,1.0,0.26666666666666666,3,False,
