link,n_sensors,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_50m,activation_lt_0_20m,activation_lt_0_10m,activation_lt_0_05m,near_saturation_lt_0_05m,raw_frame_activation_lt_0_50m,raw_frame_activation_lt_0_20m,raw_frame_activation_lt_0_10m,raw_frame_activation_lt_0_05m,mean_min_depth_m,std_min_depth_m,p05_min_depth_m,p50_min_depth_m,p95_min_depth_m,min_depth_m,median_within_traj_std_m,median_frame_to_frame_abs_diff_m,success_activation_lt_0_20m,failure_activation_lt_0_20m,success_minus_failure_activation_lt_0_20m,phase_approach_n_frames,phase_approach_n_valid_frames,phase_approach_valid_frame_ratio,phase_approach_activation_lt_0_20m,phase_pregrasp_n_frames,phase_pregrasp_n_valid_frames,phase_pregrasp_valid_frame_ratio,phase_pregrasp_activation_lt_0_20m,phase_grasp_lift_n_frames,phase_grasp_lift_n_valid_frames,phase_grasp_lift_valid_frame_ratio,phase_grasp_lift_activation_lt_0_20m,phase_transit_n_frames,phase_transit_n_valid_frames,phase_transit_valid_frame_ratio,phase_transit_activation_lt_0_20m,phase_place_n_frames,phase_place_n_valid_frames,phase_place_valid_frame_ratio,phase_place_activation_lt_0_20m,phase_post_place_n_frames,phase_post_place_n_valid_frames,phase_post_place_valid_frame_ratio,phase_post_place_activation_lt_0_20m,phase_unknown_n_frames,phase_unknown_n_valid_frames,phase_unknown_valid_frame_ratio,phase_unknown_activation_lt_0_20m,phase_spread_active_phase_count,suspicious_self_sensing,suspicious_reason
link2,7,27811,27641,0.9938873107763115,0.6133642053471292,0.1492710104554828,0.0354545783437647,0.0,0.0,0.611125094387113,0.14986875696666788,0.03674804933299773,0.0015101938082053865,0.6780820235240456,0.7081816138685483,0.11603408306837082,0.3255743384361267,2.201634645462036,0.05134691670536995,0.1116538246473841,0.001444309949874878,0.1492710104554828,,,616,593,0.9626623376623377,0.08431703204047218,6657,6594,0.9905362776025236,0.15514103730664242,7497,7497,1.0,0.09603841536614646,1820,1820,1.0,0.21043956043956044,2072,2072,1.0,0.11148648648648649,6909,6858,0.9926183239253148,0.16506270049577138,2240,2207,0.9852678571428571,0.2659719075668328,2,False,
link3,8,31784,31405,0.9880757613893782,0.5153956376373189,0.13399140264289125,0.025760229262856232,0.0019423658653080719,0.0019423658653080719,0.5107601308834634,0.13390385099421093,0.026963251950667,0.0034293984394663983,0.796952886858685,0.7313481237472399,0.1347196251153946,0.47841891646385193,2.2825752258300778,0.04393339157104492,0.1347790942232711,0.0017675161361694336,0.13399140264289125,,,704,674,0.9573863636363636,0.05341246290801187,7608,7511,0.9872502628811777,0.16362668086806018,8568,8512,0.9934640522875817,0.08305921052631579,2080,2073,0.9966346153846154,0.10612638687891944,2368,2350,0.9923986486486487,0.05872340425531915,7896,7791,0.9867021276595744,0.14850468489282506,2560,2494,0.97421875,0.28909382518043303,1,False,
link5,6,23838,23044,0.9666918365634701,0.6002430133657352,0.18759763929873285,0.059711855580628366,0.01783544523520222,0.01783544523520222,0.5817602147831193,0.18285930027686886,0.059233157144055706,0.018751573118550215,0.7193599074857167,0.7531294753160812,0.08665541335940362,0.4073619693517685,2.3037749052047727,0.04265619441866875,0.14743716293405493,0.001931712031364441,0.18759763929873285,,,528,500,0.946969696969697,0.084,5706,5563,0.9749386610585349,0.22775480855653424,6426,6217,0.9674758792405851,0.21023001447643558,1560,1532,0.982051282051282,0.17558746736292427,1776,1740,0.9797297297297297,0.08620689655172414,5922,5704,0.9631881121242823,0.1458625525946704,1920,1788,0.93125,0.2550335570469799,3,False,
link6,8,31784,31484,0.9905612886987163,0.4294879939016643,0.12854148138737137,0.03948037098208614,0.0003811459789099225,0.0003811459789099225,0.42694437452806444,0.12883840926252202,0.040617920966524036,0.001887742260256733,0.8253385296610632,0.6966438934536391,0.10791416242718696,0.5955003499984741,2.430290269851683,0.04393339157104492,0.17562084872844463,0.002528578042984009,0.12854148138737137,,,704,675,0.9588068181818182,0.10222222222222223,7608,7533,0.9901419558359621,0.09544670118146821,8568,8511,0.9933473389355743,0.2112560216190812,2080,2072,0.9961538461538462,0.1500965250965251,2368,2350,0.9923986486486487,0.06936170212765957,7896,7816,0.9898682877406282,0.09250255885363357,2560,2527,0.987109375,0.10447170557973882,1,False,
