link,n_sensors,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_50m,activation_lt_0_20m,activation_lt_0_10m,activation_lt_0_05m,near_saturation_lt_0_05m,raw_frame_activation_lt_0_50m,raw_frame_activation_lt_0_20m,raw_frame_activation_lt_0_10m,raw_frame_activation_lt_0_05m,mean_min_depth_m,std_min_depth_m,p05_min_depth_m,p50_min_depth_m,p95_min_depth_m,min_depth_m,median_within_traj_std_m,median_frame_to_frame_abs_diff_m,success_activation_lt_0_20m,failure_activation_lt_0_20m,success_minus_failure_activation_lt_0_20m,phase_approach_n_frames,phase_approach_n_valid_frames,phase_approach_valid_frame_ratio,phase_approach_activation_lt_0_20m,phase_pregrasp_n_frames,phase_pregrasp_n_valid_frames,phase_pregrasp_valid_frame_ratio,phase_pregrasp_activation_lt_0_20m,phase_grasp_lift_n_frames,phase_grasp_lift_n_valid_frames,phase_grasp_lift_valid_frame_ratio,phase_grasp_lift_activation_lt_0_20m,phase_transit_n_frames,phase_transit_n_valid_frames,phase_transit_valid_frame_ratio,phase_transit_activation_lt_0_20m,phase_place_n_frames,phase_place_n_valid_frames,phase_place_valid_frame_ratio,phase_place_activation_lt_0_20m,phase_post_place_n_frames,phase_post_place_n_valid_frames,phase_post_place_valid_frame_ratio,phase_post_place_activation_lt_0_20m,phase_unknown_n_frames,phase_unknown_n_valid_frames,phase_unknown_valid_frame_ratio,phase_unknown_activation_lt_0_20m,phase_spread_active_phase_count,suspicious_self_sensing,suspicious_reason
link2,7,27237,27167,0.9974299665895656,0.3227076968380756,0.020061103544741783,0.003091986601391394,0.000147237457209114,0.000147237457209114,0.32444836068583177,0.02257957924881595,0.005654073502955538,0.002716892462459155,0.9422122964602374,0.6482526048594979,0.25467135310173034,0.8654612302780151,2.3696082830429077,0.042532432824373245,0.14759539665075327,0.001079857349395752,0.020061103544741783,,,658,588,0.8936170212765957,0.025510204081632654,3598,3598,1.0,0.011395219566425792,6881,6881,1.0,0.021944484813253888,1953,1953,1.0,0.029697900665642603,2240,2240,1.0,0.027678571428571427,8715,8715,1.0,0.020883534136546186,3192,3192,1.0,0.011278195488721804,0,False,
link3,8,31128,31034,0.9969802107427397,0.18673068247728297,9.666817039376169e-05,3.2222723464587226e-05,0.0,0.0,0.18873682857877153,0.0026664096633256234,0.002602158828064765,0.0025700334104343356,1.0539439648851723,0.6016837760989737,0.26295737773180006,0.9982305467128754,2.2240756511688233,0.05085131525993347,0.15478958486631567,0.0015965849161148071,9.666817039376169e-05,,,752,672,0.8936170212765957,0.002976190476190476,4112,4112,1.0,0.0,7864,7864,1.0,0.0,2232,2232,1.0,0.0,2560,2556,0.9984375,0.0,9960,9950,0.998995983935743,0.00010050251256281407,3648,3648,1.0,0.0,0,False,
link5,6,23346,23286,0.9974299665895656,0.24074551232500216,0.023447565060551404,4.294425835265825e-05,4.294425835265825e-05,4.294425835265825e-05,0.2426968217253491,0.02595733744538679,0.002612867300608241,0.002612867300608241,1.0287729481133239,0.6593051820787215,0.23661502450704575,0.9005154669284821,2.6848443150520325,0.042532432824373245,0.16701412712337846,0.001910373568534851,0.023447565060551404,,,564,504,0.8936170212765957,0.0,3084,3084,1.0,0.008106355382619975,5898,5898,1.0,0.07951848084096304,1674,1674,1.0,0.03106332138590203,1920,1920,1.0,0.0,7470,7470,1.0,0.0,2736,2736,1.0,0.0,0,False,
link6,8,31128,31048,0.9974299665895656,0.6084771965988147,0.18294254058232415,0.040034784849265655,0.007214635403246586,0.007214635403246586,0.6094834232845027,0.18504240555127216,0.042501927525057825,0.009766126959650475,0.5206748167159895,0.4386027131965977,0.1099540024995804,0.41293077170848846,1.3096164524555198,0.04119356349110603,0.12029853189796758,0.0010703261941671371,0.18294254058232415,,,752,672,0.8936170212765957,0.18898809523809523,4112,4112,1.0,0.15977626459143968,7864,7864,1.0,0.3139623601220753,2232,2232,1.0,0.24238351254480286,2560,2560,1.0,0.172265625,9960,9960,1.0,0.11857429718875502,3648,3648,1.0,0.07236842105263158,2,False,
